article,date,cluster
"    LUMPUR, Malaysia, July 10   Secretary of State George P. Shultz said today that the Reagan Administration was ready to work ''promptly and decisively'' with Vietnam to resolve the issue of missing Americans.  In his first public response to a request for ''high level'' talks on the issue passed from Hanoi to Washington last week by Foreign Minister Mochtar Kusumaatmadja of Indonesia, Mr. Shultz said at a news conference at the United States Embassy here today:  ''I think the next step for us is - as we will be doing - to organize the kind of group we think would be best able to respond and to let them know in Hanoi that we'd like to start to work on this problem. We want to work at it as promptly and decisively as possible.''  Mr. Shultz's comments followed a decision by Vietnam last week to turn over the remains of 26 Americans thought to have died in Indochina. This was the largest repatriation of remains of M.I.A.'s - missing in action - announced since 1975, when South Vietnam fell to the armies of the North, two years after the withdrawal of American forces. More than 2,400 Americans are still listed as missing in Indochina, over half of them in Vietnam.  Criticizes Congress on Cambodia  In his remarks today, Mr. Shultz was also critical of Congress for what he called its ''changeability'' as he expressed the Administration's reservations about Congressional efforts to provide non-Communist forces battling Vietnamese troops in Cambodia with $5 million that could be used for military aid. The measure was approved by the House of Representatives on Tuesday.  ''I think we're going to have greater success in our program if we keep it the way it is now,'' he said, referring to the Administration's limiting of aid to mostly humanitarian expenditures.  ''Congress is a very changeable operation,'' he said. ''They are in favor of something at one time and then some things can happen and they can change their mind and you've got a program that's working that gets derailed. We'd like to avoid that.''  Mr. Shultz is in Kuala Lumpur for annual consultations with ministers of the member nations of the Association of Southeast Asian Nations - Thailand, Malaysia, Singapore, Indonesia, Brunei and the Philippines.  The Secretary, asked by reporters to clear up a misunderstanding about whether he had brought Thailand a new letter of support from President Reagan, said he had not presented such a document to Prime Minister Prem Tinsulanonda when they met in Bangkok on Monday. But he indicated that the subject had come up in their conversation when the Thai leader referred to an letter Mr. Reagan sent last April. The letter pledged backing for Thailand in the face of what both countries view as Vietnam's threatening presence in Cambodia.  In his answers to questions at the news conference, he indicated that the United States was prepared to deal with Vietnam directly at a high level. Officials traveling in the Shultz party have suggested that Paul D. Wolfowitz, Assistant Secretary of State for East Asian and Pacific Affairs, might be among officials likely to visit Hanoi, with which the United States has no formal diplomatic relations.  Indonesian Is Thanked  Mr. Shultz thanked Foreign Minister Mochtar of Indonesia, with whom he will meet privately Thursday, for his efforts in ''supporting our concerns about the M.I.A.-P.O.W. issue.'' He added that on the larger issue of diplomatic ties, Washington would prefer to act on its own.  LANGUAGE: ENGLISH                      ",July 10 1985 ,2
"      THERE was optimism last week among many Government officials - and among surviving family members - that the mystery of 2,464 Americans still unaccounted for after the war in Indochina may be closer to resolution.  A United States-sponsored research group that completed a three-day mission in Hanoi early this month reported that the Vietnamese had promised to return the remains of 26 American servicemen and ''material evidence'' regarding the fate of six others. It would be the largest such turnover in the 10 years since the fighting ended.  Potentially more significant, members of the group reported, the Vietnamese took them to a B-52 crash site outside of Hanoi, and left the impression they may be willing, after years of entreaties, to permit a search of the wreckage of other downed aircraft.  The Pentagon believes there are ''several hundred'' such crash sites in Vietnam that may contain enough evidence to close the books on many of the 1,820 missing in that country.  A week earlier, another American team completed its first excavation in Laos, where 556 Americans remain on the missing list. A two-week sifting of a nearly obliterated AC-130 gunship shot down in 1972 produced 13 identifiable sets of remains.  Richard L. Armitage, Assistant Secretary of Defense for international security affairs, said that so far the Vietnamese had made no commitment to allow American teams in, but he regarded the B-52 visit as ''an indication that they're certainly leaning in that direction.''  Signal of a Policy Decision  The developments came after a Vietnamese proposal to open talks aimed at resolving questions about the missing Americans within two years.  ''We've never before had this large a turnover, or any kind of a time commitment,'' said Ann Mills Griffiths, executive director of the National League of P.O.W.-M.I.A. Families. ''It signals a policy decision on their part, and we obviously welcome that.'' ''That doesn't mean we're near the end,'' she added.  Nor does it touch on the matter of whether any Americans are still in captivity in Vietnam. A special House committee concluded in 1976 that ''no Americans are still being held alive as prisoners in Indochina, or elsewhere, as a result of the war in Indochina.''  The chairman of the panel, Representative G. V. Montgomery, Democrat of Mississippi, still gets periodic briefings from Pentagon intelligence specialists.  ''They can't give me a name,'' Mr. Montgomery said last week. ''They can't give me strong evidence.'' A panel appointed by President Carter also concluded that there were no captives.  The Nature of the 'Evidence'  The Administration has been less inclined to rule out that possibility. The official view today, Mr. Armitage said, is: ''We act under the assumption that there is at least one American held against his will in Indochina.''  The ''evidence'' regarding captives appears to consist almost entirely of reports from Vietnamese refugees who say they once saw what they thought were Americans. The Pentagon has recorded 774 such reported sightings; so far, most of the eyewitness accounts either have involved Americans who returned or have been discounted, sometimes with the assistance of lie-detector tests, as fabrications.  That leaves 123 sightings still being examined, according to officials.  Col. Gerald S. Venanzi, a former prisoner of the Vietnamese who is the Pentagon's senior adviser on P.O.W. and M.I.A. affairs, said there is little even in those active files to raise hopes.  Very few of the witnesses mention talking to the alleged American captives. Half are sightings of white men not under guard - possibly Russian advisers, European diplomats or reporters. Only two of the reported sightings have taken place since 1980, and 18 were before the fall of Saigon.  ''A lot among that 123 are just so vague that there is no place to go with them,'' Colonel Venanzi said. ''There's nothing I'd want to take to the store and say, 'This is it, boss.' ''  Still, he is convinced ''there's a lot to investigate.'' The M.I.A. search office told Congress last month it has ''a virtually unlimited budget'' for the cause.  Some critics feel the Administration has exploited the missing Americans. Every year, families of the missing servicemen have been airlifted to Washington for P.O.W.-M.I.A. Recognition Day - some 800 are expected to fly in at Government expense for a gathering on Friday. On such occasions, the hope has been encouraged that some of the missing will emerge alive.  To those who say such displays raise false hope or smack too much of political showmanship, Mr. Armitage replies that they have paid off, perhaps convincing Hanoi that any hope of normal diplomatic relations depends on as full a reckoning as possible.  No one expects that all of the missing Americans will ever be accounted for. Many are presumed to have crashed into the sea or dense jungle, and the tropical climate quickly destroys evidence.  About 8,100 Americans still remain unaccounted for from the Korean war, and more than 78,000 from World War II, where the United States had the victor's advantage of unimpeded access to former battlefields and crash sites.  At what point will the Administration be satisfied?  Said Mr. Armitage: ''It's kind of like enlightenment. You know when you're there.''  LANGUAGE: ENGLISH  GRAPHIC: Photo of remains of an Air Force man shot down in Laos in 1972 being transferred to hearse (United Press International)                      ",July 14 1985 ,2
"      The United States proposed to Vietnam today that an American delegation go to Hanoi to discuss Vietnam's recent offer to resolve the missing-in-action issue, a State Department spokesman said.  The department spokesman, Bernard Kalb, said the proposed delegation would include officials from the Defense and State Departments, the National Security Council and the executive director of the National League of Families. He said he could not name the delegation members.  According to Mr. Kalb, there will be no change in United States policy toward Vietnam. There are 2,464 Americans still listed as missing in action in Southeast Asia, most of them in Vietnam.  The proposal was issued today through the United States Embassy in Bangkok in response to a Vietnamese offer, made in July, to resolve the issue within two years.  LANGUAGE: ENGLISH                      ",August 10 1985 ,2
"      A United States delegation scheduled to meet with Vietnamese officials to discuss the fate of missing American servicemen postponed its departure for Hanoi today after learning that Foreign Minister Nguyen Co Thach would not be present for the meetings next week.  The Vietnamese Government announced in July that it was prepared to resolve within two years the question of Americans missing in action, and wanted to hold high-level talks to discuss it. Nearly 2,500 Americans are listed as missing in the Indochina war, more than half of them in Vietnam.  The American delegation that had been scheduled to leave Saturday planned to spend two days in Hanoi and half a day in Laos.  A State Department statement said only that the delegation ''may have to reschedule'' the trip because of ''some difficulty in scheduling participation on the Vietnamese side.''  A senior Administration official said Mr. Thach's participation was considered crucial. Mr. Thach was in Indonesia this week and there were unconfirmed reports he had gone on to Moscow. The official said there was hope that the Vietnamese would offer ''clarification'' and that the delegation could leave with a delay of only a day or two.  LANGUAGE: ENGLISH                      ",August 23 1985 ,2
"   , Vietnam, Aug. 28   Vietnam offered a two-year plan today to resolve the issue of nearly 1,400 Americans missing in action in the Vietnam War.  Deputy Foreign Minister Hoang Bich Son told reporters Vietnam would welcome United States aid in financing the search for remains, but had not requested it. He said the American side brought up the possibility of financing searches for missing soldiers.  He did not give details of the Vietnam plan and said the American delegation had submitted its own proposals.  Mr. Son and five other Vietnamese officials met in Hanoi with a four-member United States delegation headed by Richard Childress, a member of the National Security Council. Also in the team is Ann Mills Griffiths, executive director of the National League of Families of American Prisoners and Missing in Southeast Asia.  Of the 2,464 American servicemen and civilians still listed as missing in Indochina, 1,375 disappeared in Vietnam.  LANGUAGE: ENGLISH                      ",August 29 1985 ,2
"   , Vietnam, Aug. 29   The head of an American delegation said today that the United States and Vietnam were working on a unified plan to account for nearly 1,400 Americans still missing in the Vietnam War.  Vietnamese officials have pledged to resolve the issue of the missing soldiers in ''a very short time,'' said Richard Childress, a member of the National Security Council.  Mr. Childress would not give details of the plans under discussion, but he said there were common features in the proposals submitted at the talks. He described the negotiations as ''very substantive.'' The talks ended today.  Col. Vo Dong Giang, a Deputy Foreign Minister, said that Vietnam had offered a three-step plan and would welcome more meetings this year with American officials.  LANGUAGE: ENGLISH                      ",August 29 1985 ,2
"      The Reagan Administration said today that talks last week with Vietnamese officials in Hanoi were ''the most positive'' to date in the 12-year effort to resolve the problem of Americans unaccounted for in the Vietnam War.  A State Department spokesman, Charles E. Redman, said that ''I am pleased to state that the talks were very productive'' and that the meeting ''took place in a constructive atmosphere.''  Last Wednesday and Thursday, a four-member United States team led by Richard Childress, the political and military affairs director of the National Security Council staff, met with the acting Vietnamese Foreign Minister, Vo Dong Giang, and with Deputy Foreign Minister Hoang Bich Son.  Originally, a higher-level American delegation, led by Richard L. Armitage, Assistant Secretary of Defense, and Paul D. Wolfowitz, Assistant Secretary of State for East Asian and Pacific Affairs, had been scheduled to meet with Foreign Minister Nguyen Co Thach. But when Mr. Thach informed Washington on Aug. 23 that he had to travel to Moscow, Mr. Armitage and Mr. Wolfowitz canceled plans at the last minute to fly to Hanoi.  The assumption at that time in Washington was that the Vietnamese, who at first had proposed ''high-level talks'' to resolve the question of unaccounted-for Americans ''in two years,'' were having second thoughts. The lower-level Childress mission was authorized to have ''technical talks.''  State Department officials said today that Mr. Childress, who was accompanied by Ann Mills Griffiths, executive director of the League of Families of American Prisoners and Missing in Southeast Asia, was surprised to find the Vietnamese officials ready, even at the secondary level, to discuss for the first time all aspects of the issue.  ''This was the first time that we had a totally nonpolemical discussion with the Vietnamese,'' a State Department official said. ''They did not raise any preconditions for cooperation.'' In previous meetings, Hanoi had indicated that progress on the missing-in-action issue depended on the United States improving relations with Vietnam or granting it foreign aid.  Neither issue was raised this time, but American officials believe that Hanoi still hopes to achieve both.  During the talks, Mr. Redman said, the United States conveyed to the Vietnamese ''an outline of a process to resolve the issue in Vietnam within two years.'' Vietnam ''presented its own plan to resolve the issue in a short time.''  'A Number of Common Elements'  ''There are a number of common elements between the two concepts,'' he said.  A total of 1,820 Americans in Vietnam are carried on one of two rolls - those who were at one time listed as prisoners of war, or missing in action, and those who were believed to be killed in action but whose bodies have not been recovered. Despite movies that portray Americans being held in Vietnam, State Department officials said there is no evidence to indicate that any are alive. But there is a desire, they said, to clear up questions raised by reported sightings of Westerners who could be Americans.  According to State Department officials, the United States suggested a three-part approach to the Vietnamese: first, to obtain the release of any prisoners or at least to resolve the issue of live prisoners; second, for the Vietnamese to step up their efforts to recover the remains of dead Americans; and third, to undertake surveys and excavations in areas where the United States believes remains may be found.  The thrust of the American plan, a State Department official said, was for joint American-Vietnamese efforts, with American teams being allowed to observe the Vietnamese efforts and to aid in the search.  The Vietnamese, in their plan, put the stress on increased Vietnamese efforts and showed little enthusiasm for joint teams, but did not rule the idea out, an official said.  Hanoi Denies G.I.'s Are Alive  Hanoi denies that any missing Americans are still alive, officials said.  The most contentious issue deals with the Vietnamese turning over remains. Washington believes that Hanoi has stored the remains of hundreds of Americans, some of which it returns periodically to the United States. Most recently, Hanoi turned over the remains of 26 Americans. Altogether, Vietnam has returned the remains of 99 men.  State Department officials said the Vietnamese seem much more determined to deal with the question of the unaccounted-for Americans. ''They know they have to do so to improve relations with us,'' one State Department official said.  ''We believe the talks were the most positive step yet in the ongoing process toward resolution of this issue,'' Mr. Redman said.  Ever since the cease-fire agreement was signed in 1973 on ending the Vietnam War, the United States has been seeking a full accounting of its men in Vietnam. But the effort has had the highest priority in the Reagan Administration, which was critical of the way past administrations dealt with the question.  The United States has said it would not improve relations with Hanoi until the missing-in-action question was resolved and until Hanoi withdrew its forces from Cambodia. The Vietnamese have occupied Cambodia since crushing the Communist Government of Pol Pot in early 1979 but have recently said they foresaw pulling out by 1990. There are believed to be about 160,000 Vietnamese in Cambodia bolstering the Government of Heng Samrin.  U.S. Comments on Pol Pot  In another development, the State Department said it would be ''a positive step'' if Pol Pot, the leader of the Khmer Rouge, has actually retired from active command of his forces. Since the Vietnamese victory over his forces in 1979, Mr. Pol Pot has led the Khmer Rouge in a continuing insurgency, with the aid of China. There are two non-Communist rebel groups in Cambodia, one led by the former chief of state, Prince Norodom Sihanouk, and the other by Son Sann, a former official in the old Cambodian Government.  Because the Pol Pot regime has been charged with the deaths of more than two million Cambodians during its rule, the United States and most other countries have had no contact with it.  LANGUAGE: ENGLISH  GRAPHIC: photo of Sen. Robert C. Byrd and Mikhail Gorbachev (AP)                      ",September 3 1985 ,2
"      Although the United States is sending a high-level delegation to Hanoi next week, there has been no visible movement toward formal diplomatic relations.  Officials believe Hanoi is ready for normal relations, partly as a balance with its involvement with the Soviet Union, but also to rebuff China and to obtain American investment in such fields as offshore oil exploration. Vietnamese officials have welcomed private Americans who have urged reconciliation and exchange programs. A group of educators is to visit Vietnam this week, for example, to lay the groundwork for a teacher exchange.  But more than 10 years after the end of the Vietnam War, the United States continues to resist diplomatic relations, citing as the latest obstacle the presence of an estimated 140,000 Vietnamese troops in Cambodia. Hanoi, which invaded in 1978, accuses China of having used Cambodia as a surrogate to attack Vietnam.  ''We will not normalize until this is resolved to allow the Khmer people to have free choice,'' Richard L. Armitage, Assistant Secretary of Defense, said in a recent interview.  Highest Delegation Since '77  Mr. Armitage is going to Hanoi with Paul D. Wolfowitz, Assistant Secretary of State for East Asian and Pacific Affairs, and with Richard Childress, political and military affairs director of the National Security Council staff at the White House.  It is the highest-level delegation since 1977, when Leonard Woodcock, then president of the United Auto Workers, was sent by President Carter to explore opening diplomatic relations. Those efforts fell victim to a series of events in 1978, including the Vietnamese invasion of Cambodia and the establishment of Chinese-American relations.  The talks next week are to focus on the other major issue between Hanoi and Washington: accounting for Americans missing in action.  ''The Vietnamese have indicated greater cooperation on this issue than was evident heretofore,'' Mr. Armitage said.  In recent months, he said, Vietnam has returned remains of Americans at a faster rate and has allowed an American team to search a B-52 crash site, the first of a series to be explored.  Plan Presented by Hanoi  In August, Mr. Armitage said, Vietnamese officials presented the United States with a plan to obtain and provide as much information on the missing as possible by the end of 1987. Consequently, the Administration has adopted the view that accounting for the missing is ''not a precondition to any sort of normalization,'' as Mr. Armitage put it.  In a wider sense, however, it has political impact on American attitudes.  ''They know fully and without a doubt that this issue is not going to go away,'' Mr. Armitage said. ''It is not a precondition. But it is a simple fact of life that the American people will not stand for normalization until this problem is resolved.''  The lingering preoccupation with the missing and the unwillingness to establish diplomatic relations with Vietnam are seen by some Americans as symptoms of an inability to heal the wounds of war.  ''For Americans, there is no closure,'' said John McAuliff, director of the U.S.-Indochina Reconciliation Project, a program of the SANE Education Fund. ''There has begun to be individual closure, with individuals making the trip back to Vietnam. But more important, there is no societal closure in which one can really say things are back to normal, the country is at peace.''  A Former Antiwar Activist  Mr. McAuliff, who was interviewed before heading for Vietnam with the educators, is one of several antiwar activists who have turned their efforts to improving American-Vietnamese ties. He believes that formal relations would have concrete benefits for both sides.  Diplomatic recognition by Washington, he said, ''would encourage sectors of the Vietnamese Government that take a more reformist and liberal approach and a more trusting approach to their people.''  There could also be joint research, he said, into the effects of dioxin, a toxic chemical contained in the defoliant Agent Orange, which was used by United States forces in Vietnam.  Dioxin has been found in the soil of some American communities. Its effect on health could be measured by examining South Vietnamese residents who have high levels in their bodies, Mr. McAuliff said. Effect on Vietnamese in U.S.  He said normalization would also make it possible for Vietnamese living in the United States to visit Vietnam and would have an effect on their politics here.  ''As long as there is not normalization,'' Mr. McAuliff said, ''it kind of feeds the hopes of the right-wing activists in the Vietnamese community that they can somehow stage a return. Once the U.S. recognizes that there is a single, unified Vietnam, it really does say to people, 'Look, you have to make your lives here now.' ''  From Vietnam's standpoint, American officials and Asian diplomats observe, relations with Washington could help an ailing economy. The present trade embargo inhibits Vietnam's purchase of spare parts for American equipment left behind at the end of the war. It has also created a vacuum into which the Soviet Union has stepped with an estimated $1 billion a year in aid.  Since North Vietnamese troops rolled into Saigon in April 1975 and the last Americans left in helicopters from the United States Embassy roof, Vietnam has been drawn into a relationship of both dependence on and wariness of the Soviet Union. Dependent for aid to its flagging economy and military strength against a hostile China, it has entered into elaborate trade, diplomatic and military agreements with Moscow.  Determined to Be Autonomous  But Vietnamese officials also emphasize their determination to remain autonomous, an effort that took several forms in the first years after 1975. One was a demand for United States ''reparations'' for damage caused in the war as a condition for diplomatic ties.  One Hanoi official recently said that condition was ''a mistake'' and had infuriated Americans. The demand was dropped in December 1977.  In addition, Vietnam initially resisted Soviet pressure to use American-built military bases in Cam Ranh Bay, Da Nang and elsewhere. The aversion has diminished over the years, and the Russians have gradually gained a military presence.  According to Mr. Armitage, an average of 25 Soviet Navy vessels, including submarines, are moored in Cam Ranh Bay at any given time. MIG-23 jet fighters and long-range aircraft are based there and at Da Nang, he said, with the MIG's scheduled to be turned over to the Vietnamese.  Still, in conversations with Westerners, Vietnamese officials stress their desire not to become to the Soviet Union what the Philippines are to the United States, an allusion to the freedom of the United States to use bases in the Philippines as it wishes.  Fear of China Is Deep  But Vietnam's fear of China, rooted deeply in history, keeps Hanoi close to Moscow and is used as an argument to keep Vietnamese troops in Cambodia. Some Americans note the long historical record of Vietnam's trying to expand into Cambodia.  But Vietnamese officials see two ways out: building up their allied Cambodian forces until they are able to of maintain a pro-Vietnamese regime in power, or arriving at some political solution involving the Cambodian anti-Vietnamese guerrillas that would permit Vietnamese withdrawal before 1990, when Hanoi has said its troops will depart.  For the moment, at least, this has frozen the Vietnamese-American relationship.  ''They will only withdraw,'' Mr. Armitage insisted, ''if they have succeeded in their plan to suborn Khmer culture. I don't think that's possible. They tried that in the 1800's.''  LANGUAGE: ENGLISH                      ",January 2 1986 ,2
"    The United States and Vietnam do not agree about much, but Hanoi has evidently accepted Washington's insistence that it must cooperate in accounting for the 1,797 Americans listed as missing in the war that ended in 1975. This week, the most senior United States officials to visit Hanoi in eight years are to meet with Foreign Minister Nguyen Co Thac to lay the groundwork for closing the books.  The Vietnamese ''have evidenced greater cooperation on this issue'' of late, said Richard L. Armitage, an Assistant Secretary of Defense.  He will be accompanied to Hanoi by Assistant Secretary of State Paul D. Wolfowitz; Richard Childress, a senior National Securitry Council aide, and Anne Mills Griffith of the League of Families of American Prisoners and Missing in Southeast Asia. Mr. Childress and Mrs. Griffith went to Vietnam in September for talks that the State Department said had been the ''most positive'' to date.  In November, Americans and Vietnamese searched a site near Hanoi where a B-52 bomber crashed in 1972. However, bone fragments that they unearthed are believed unlikely to help identify missing Americans.  Vietnam has said it wants to clear up the issue of the missing, presumably to pave the way for diplomatic relations with Washington and to mitigate its dependence on the Soviet Union, which provides $1 billion a year in aid.  Washington, however, insists that relations cannot begin until the estimated 140,000 Vietnamese soldiers occupying Cambodia are removed. ''We will not normalize,'' Mr. Armitage said, ''until this is resolved to allow the Khmer people to have free choice.''  LANGUAGE: ENGLISH                      ",January 5 1986 ,2
"   , Vietnam, Tuesday, Jan. 7   Two days of high-level talks between the United States and Vietnam on the issue of Americans missing in action from the Vietnam War ended today with both sides expressing satisfaction with negotiations but calling for quicker progress on unresolved cases.  It was announced that a round of technical discussions would take place late next month to consider what the Vietnamese described as 50 new reports of remains. The two sides also talked about the opening of an American technical office here but decided such a move was unnecessary at this point, according to the American side.  The United States delegation, the highest to come to Vietnam since the war, was led by Assistant Secretary of Defense Richard L. Armitage, who spoke to reporters after the final session today. He was joined at the news conference by Hoang Bich Son, the Vietnamese Deputy Foreign Minister, who headed Hanoi's delegation.  Meeting With Foreign Minister  The Americans met earlier this morning with Foreign Minister Nguyen Co Thach. Mr. Thach, leaving the Foreign Ministry guest house, a former French colonial governor's palace, said that while both sides were pleased with the discussions, they sought quicker progress.  Mr. Son said later that a two-year timetable for resolving the question of missing Americans, which Vietnam announced in July, would now go into effect. But he and Mr. Thach said they hoped the issue could be resolved in less than two years.  The United States has made a fuller accounting of missing Americans a prerequisite for better relations with Vietnam. A total of 1,797 Americans are unaccounted for in Vietnam and around its shores.  Talks on Prisoners of War  While the United States has largely agreed with Vietnam that there is almost no likelihood that any missing Americans are still alive, there have been repeated reports in the United States of evidence that some Americans are being held prisoner.  The issue of prisoners of war was raised this morning, according to Foreign Minister Thach. ''I have assured them that there is no one alive in our hands,'' he said.  Officials said the atmosphere around the talks had been businesslike and devoid of ceremony.  Over the last year both the Vietnamese and the Reagan Administration have said they have been encouraged by progress on the issue of the missing Americans. In July the Vietnamese returned the remains of 26 Americans killed during the war, most of them downed airmen.  In November Hanoi allowed the first joint excavation of an American B-52 crash site near Hanoi.  The United States delegation at the talks here included Paul D. Wolfowitz, the Assistant Secretary of State for East Asian and Pacific Affairs; Richard K. Childress of the National Security Council, and Ann Mills Griffiths, executive director of the National League of Families, which represents the relatives of missing Americans.  Also in the delegation were Col. Howard Hill of the Defense Department and M. Lyall Breckon, director of the State Department's Vietnam, Laos and Cambodia section.  The Vietnamese Delegates  The Vietnamese delegation included Mr. Son; Nguyen Dy Nien, an Assistant Foreign Minister; Tran Hoan, director of the Vietnamese Foreign Ministry's North American Department, and Nguyen Can, the Deputy Director of North American Affairs.  The United States had insisted that the meeting be confined to the issue of missing Americans. The Vietnamese sought to broaden the discussions to other issues holding up American diplomatic recognition of Hanoi.  Washington has said there will be no diplomatic relations or economic help until Vietnamese troops leave Cambodia. Hanoi toppled the Khmer Rouge Government there seven years ago today and now occupies the country with more than 150,000 troops.  Hanoi is openly acknowledging that it would like to link the opening of any American liaison office in Hanoi with the opening of a Vietnamese mission in Washington.  Hanoi Seeks Warmer Ties  On Saturday, Vo Dong Giang, a Minister of State at the Vietnamese Foreign Office, told reporters that it was only fair that if the Americans were present in Hanoi, the Vietnamese should be present in Washington.  Asian officials and diplomats based in Hanoi said the Vietnamese attached great importance to the meeting with the Americans because Hanoi needed to improve relations with Washington for several reasons.  Diplomats describe the Vietnamese leadership as uncomfortable in an exclusive alliance with the Soviet Union.  The Vietnamese, they say, would like to be able to play Washington and Moscow off against each other in the region, where both Soviet and American strategic interests are at stake.  Vietnam would also like warmer relations with China, which would give Hanoi even more leverage in dealing with the great powers, diplomats say.  Reconstruction Is Aim  In a meeting with reporters on Monday while the first session of the talks was in progress, Mr. Giang, the Minister of State, was asked why Vietnam wanted better relations with Washington. ''We do not want to improve relations only with Washington,'' he said. ''We want to improve relations with all the people around us because we need a peaceful framework for reconstruction.''  There are those close to Hanoi who contend that Vietnam, now one of the world's poorest countries, continues to hold out hope for some kind of American reparations for the war or at least for American help in development.  But even without recompense, Vietnam appears to believe that it would gain substantially from United States recognition in terms of unofficial aid from American and international organizations. A number of private American humanitarian organizations say they would like to aid the Vietnamese but have been blocked by the diplomatic situation.  LANGUAGE: ENGLISH                      ",January 6 1986 ,2
"   , Thailand, Jan. 12   While American and Vietnamese officials expressed satisfaction last week with the atmosphere of good will surrounding two days of high-level talks in Hanoi on Americans missing in action since the Vietnam War, both sides agreed that they had reached a time when building confidence and increasing cooperation would be critical.  Material progress will have to be made, they said, if the issue of the missing is no longer to prevent better relations between the two countries.  There are potential problems on both sides, officials said, and the wide attention paid to the negotiations, which produced no breakthroughs, could sharpen divisions.  Wants U.S. to 'Leave Us Alone'  Not all Vietnamese leaders favor cooperation with the United States.  Asked by reporters last Monday what he most wanted from Washington, Vo Dong Giang, the second-highest ranking official in the Vietnamese Foreign Ministry, said, ''We would like the U.S. to leave us alone and stop assisting China in the latter's efforts to undermine us.''  During the talks last week, it became clear, officials said, that the Vietnamese had rejected American proposals made last summer for a joint plan of action on the missing.  The Vietnamese, apparently unwilling to share too much information related to their own national security, did pledge, however, to begin this month their own two-year program to account for as many Americans as possible. Anti-American language has been absent from public pronouncements.  The leader of the Vietnamese delegation, Deputy Foreign Minister Hoang Bich Son, said in a meeting with reporters at the end of the discussions that Hanoi had already begun an ''educational campaign'' in the countryside that had produced 50 new reports of possible American war dead. He said the reports would be presented to an American-Vietnamese technical meeting in Hanoi at the end of February.  U.S. Show of Good Will  Hanoi has said publicly that the Vietnamese people could not be persuaded to help look for missing Americans until the United States showed more good will toward Vietnam.  The United States Defense Department, which lists 1,797 American soldiers and civilians unaccounted for in Vietnam or off its coasts, promised in return to assist Hanoi with information or equipment needed for searches.  On their side, the Americans have to contend with what they call the ''Rambo factor'' in the United States. United States officials said private crusades, often couched in what they termed a crude anti-Communism that diplomats and American military officers dealing with the issue of the war-dead say they abhor, threatened to undermine years of low-key efforts that seem ready to produce results.  Diplomats in Hanoi said repeated private assertions by Americans that Hanoi is still holding, possibly under conditions of extreme deprivation or even torture, scores of Americans on the missing list were particularly rankling to the Vietnamese.  Possibility Not Ruled Out  United States officials said they were not ruling out the possibility that some of the missing Americans might still be alive in Vietnam. But American officials said they were seeking ways to allow the Vietnamese to save face in acounting for any such Americans.  European diplomats in Hanoi who regularly check reports of sightings of Americans are virtually unanimous in doubting that there are many, if any, prisoners held by Vietnam. But they said the chances were good that there were some deserters living in Vietnamese villages.  Diplomatic ways are also being sought to recover war dead that most Americans close to the issue say they believe are already in the possession of the Vietnamese.  Asian diplomats said it would be extremely embarrassing for Hanoi to be seen in the eyes of the world as having hoarded American bodies more than a decade after the war for future trade-offs.  ''We are Asians, too, and we know how they think,'' an Indonesian said. ''The Vietnamese now understand that they have dissipated the good will they had in the developing world with their occupation of Cambodia. They can't get away with using these bodies as poker chips.''  A Humanitarian Issue  Both sides have been working hard to live up to their assertions that the issue of the missing is a strictly humanitarian one and that it will not be used in the negotiations as a bargaining ploy or a means of scoring political points.  It has long been assumed by regional diplomats and officials that Hanoi would benefit most from a resolution of the issue, as Vietnam needs Western technical assistance and help in resolving the seven-year-old war in Cambodia.  Lately, however, diplomats in Hanoi have been questioning whether the seemingly deteriorating security situation in the Philippines might not be causing the United States to look more closely again at mainland Southeast Asia.  Although diplomats say Vietnam is not likely to be persuaded to eject a large Soviet military presence, as Egypt once did, Hanoi is thought to want more balanced international relationships.  ''They don't want to be another tropical fruit farm for Moscow - like Cuba,'' a European with experience in assisting the Vietnamese said.  LANGUAGE: ENGLISH                      ",January 12 1986 ,2
"      Vietnam has agreed to investigate 95 United States reports that some Americans are still being held prisoner in Indochina, senior Administration officials said today.  The officials, Assistant Defense Secretary Richard L. Armitage and Assistant Secretary of State Paul D. Wolfowitz, who led an American delegation in talks in Hanoi last week, said progress report on their investigation at a meeting in Hanoi next month.  ''We have been unable thus far to prove that any Americans are being held against their will,'' Mr. Armitage said at a news conference. ''But on the information that is in our possession,'' he said, ''we act under the assumption that at least some Americans are held against their will in Indochina.''  LANGUAGE: ENGLISH                      ",January 13 1986 ,2
